stt,name,price,other
49,Kirby™ and the Forgotten Land,Chưa có,"Nintendo Switch: 5.8 GB , Nintendo Switch 2: 5.9 GB , TV mode , Tabletop mode , Handheld mode , Single System (1-2) , Supported , Action , Adventure , Online Play , Save Data Cloud , Nintendo Switch , Nintendo , HAL Laboratory , Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English , March 25, 2022"
50,Pokémon™ Legends: Arceus,$59.99,"Nintendo Switch: 6.1 GB , Nintendo Switch 2: 6.1 GB , TV mode , Tabletop mode , Handheld mode , Supported , Action , Role playing , Online Play , Nintendo Switch , Nintendo , GAME FREAK , Japanese, French, German, Italian, Spanish, Korean, Simplified Chinese, Traditional Chinese, American English , January 28, 2022"
51,Chưa có,Chưa có,Chưa có
52,Big Brain Academy™: Brain vs. Brain,$29.99,"Nintendo Switch: 720 MB , Nintendo Switch 2: 805 MB , TV mode , Tabletop mode , Handheld mode , Single System (1-4) , Online (1-) , Online, Local , Supported , Training , Online Play , Save Data Cloud , Nintendo Switch , Nintendo , Nintendo , Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Russian, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English , December 3, 2021"
53,Pokémon™ Brilliant Diamond and Pokémon™ Shining Pearl Double Pack,Chưa có,"Role playing , Nintendo Switch , Nintendo , November 19, 2021"
54,Pokémon™ Shining Pearl,Chưa có,"Nintendo Switch: 6.9 GB , Nintendo Switch 2: 6.9 GB , TV mode , Tabletop mode , Handheld mode , Supported , Role playing , Online Play , Nintendo Switch , Nintendo , ILCA , Japanese, French, German, Italian, Spanish, Korean, Simplified Chinese, Traditional Chinese, American English , November 19, 2021"
55,Pokémon™ Brilliant Diamond,$59.99,"Nintendo Switch: 6.9 GB , Nintendo Switch 2: 6.9 GB , TV mode , Tabletop mode , Handheld mode , Supported , Role playing , Online Play , Nintendo Switch , Nintendo , ILCA , Japanese, French, German, Italian, Spanish, Korean, Simplified Chinese, Traditional Chinese, American English , November 19, 2021"
56,Mario Party™ Superstars,Chưa có,"Nintendo Switch: 2.9 GB , Nintendo Switch 2: 2.9 GB , TV mode , Tabletop mode , Handheld mode , Single System (1-4) , Online (1-4) , Supported , Action , Party , Tabletop , Online Play , Save Data Cloud , Nintendo Switch , Nintendo , Japanese, French, German, Italian, Spanish, Korean, Dutch, Russian, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English , October 29, 2021"
57,SEGA Genesis™ – Nintendo Switch Online,$0.00,"Nintendo Switch: 226 MB , Nintendo Switch 2: 226 MB , TV mode , Tabletop mode , Handheld mode , Single System (1-2) , Online (2-) , Online Play , Save Data Cloud , Nintendo Switch , Nintendo , British English, French, German, Italian, Spanish, Korean, Dutch, Portuguese, Russian, Latin American Spanish, Canadian French, Brazilian Portuguese, American English , October 25, 2021"
58,Nintendo 64™ – Nintendo Classics,Chưa có,"Nintendo Switch: 1.8 GB , Nintendo Switch 2: 1.9 GB , TV mode , Tabletop mode , Handheld mode , Single System (1-4) , Online (2-4) , Online Play , Save Data Cloud , Nintendo Switch , Nintendo , British English, French, German, Italian, Spanish, Korean, Dutch, Portuguese, Russian, Latin American Spanish, Canadian French, Brazilian Portuguese, American English , October 25, 2021"
